2019-08-22 15:51:08 INFO  TestBase:93 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 15:51:41 INFO  TestBase:186 - browser closed
2019-08-22 16:13:41 INFO  TestBase:95 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:13:54 INFO  TestBase:188 - browser closed
2019-08-22 16:16:32 INFO  TestBase:95 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:16:46 INFO  TestBase:188 - browser closed
2019-08-22 16:17:53 INFO  TestBase:95 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:18:08 INFO  TestBase:188 - browser closed
2019-08-22 16:21:36 INFO  TestBase:95 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:21:40 INFO  WebEventListener:243 - Found Element By : By.name: uid
2019-08-22 16:21:40 INFO  WebEventListener:243 - Found Element By : By.name: password
2019-08-22 16:21:40 INFO  WebEventListener:243 - Found Element By : By.name: btnLogin
2019-08-22 16:21:44 INFO  WebEventListener:243 - Clicked on: [[ChromeDriver: chrome on XP (7c7fb979cfef0840f9540de4e19fe335)] -> name: btnLogin]
2019-08-22 16:21:44 INFO  WebEventListener:243 - Found Element By : By.xpath: //*[@class='menusubnav']/li/a
2019-08-22 16:21:46 INFO  WebEventListener:243 - Clicked on: [[ChromeDriver: chrome on XP (7c7fb979cfef0840f9540de4e19fe335)] -> xpath: //*[@class='menusubnav']/li/a]
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='name']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //*[@type='radio'][@value='f']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Clicked on: [[ChromeDriver: chrome on XP (7c7fb979cfef0840f9540de4e19fe335)] -> xpath: //*[@type='radio'][@value='f']]
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //*[@type='date']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //*[text()='Address']//following::textarea
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='city']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='state']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='pinno']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='telephoneno']
2019-08-22 16:21:47 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='emailid']
2019-08-22 16:21:48 INFO  WebEventListener:243 - Found Element By : By.xpath: //input[@name='password']
2019-08-22 16:21:48 INFO  WebEventListener:243 - Found Element By : By.xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]
2019-08-22 16:21:48 INFO  WebEventListener:243 - Clicked on: [[ChromeDriver: chrome on XP (7c7fb979cfef0840f9540de4e19fe335)] -> xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]]
2019-08-22 16:21:48 INFO  TestBase:188 - browser closed
2019-08-22 16:32:19 INFO  TestBase:115 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:32:43 INFO  TestBase:144 - Username and Password Entry is in process
2019-08-22 16:32:43 INFO  WebEventListener:132 - Found Element By : By.name: uid
2019-08-22 16:32:44 INFO  WebEventListener:132 - Found Element By : By.name: password
2019-08-22 16:32:44 INFO  WebEventListener:132 - Found Element By : By.name: btnLogin
2019-08-22 16:32:46 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (617e20c7eeb159e26837c2a2afe4d1b6)] -> name: btnLogin]
2019-08-22 16:32:46 INFO  TestBase:144 - Username and Password Entry done
2019-08-22 16:32:46 INFO  TestBase:144 - Navigating to New Customer
2019-08-22 16:32:46 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@class='menusubnav']/li/a
2019-08-22 16:32:49 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (617e20c7eeb159e26837c2a2afe4d1b6)] -> xpath: //*[@class='menusubnav']/li/a]
2019-08-22 16:32:49 INFO  WebEventListener:132 - Found Element By : By.xpath: .//*[@class='heading3']
2019-08-22 16:32:49 INFO  TestBase:144 - Add New Customer Page Opened
2019-08-22 16:32:49 INFO  TestBase:144 - Entering all valid details and creating new Customer
2019-08-22 16:32:49 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='name']
2019-08-22 16:32:49 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='radio'][@value='f']
2019-08-22 16:32:49 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (617e20c7eeb159e26837c2a2afe4d1b6)] -> xpath: //*[@type='radio'][@value='f']]
2019-08-22 16:32:49 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='date']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[text()='Address']//following::textarea
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='city']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='state']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='pinno']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='telephoneno']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='emailid']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='password']
2019-08-22 16:32:50 INFO  WebEventListener:132 - Found Element By : By.xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]
2019-08-22 16:32:51 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (617e20c7eeb159e26837c2a2afe4d1b6)] -> xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]]
2019-08-22 16:32:51 INFO  TestBase:144 - New Customer Creation Done
2019-08-22 16:32:51 INFO  TestBase:209 - browser closed
2019-08-22 16:34:36 INFO  TestBase:115 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:34:40 INFO  TestBase:144 - Username and Password Entry is in process
2019-08-22 16:34:40 INFO  WebEventListener:132 - Found Element By : By.name: uid
2019-08-22 16:34:40 INFO  WebEventListener:132 - Found Element By : By.name: password
2019-08-22 16:34:40 INFO  WebEventListener:132 - Found Element By : By.name: btnLogin
2019-08-22 16:34:42 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (869cbde215d2191d93c4587351a8c799)] -> name: btnLogin]
2019-08-22 16:34:42 INFO  TestBase:144 - Username and Password Entry done
2019-08-22 16:34:42 INFO  TestBase:144 - Navigating to New Customer
2019-08-22 16:34:42 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@class='menusubnav']/li/a
2019-08-22 16:34:43 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (869cbde215d2191d93c4587351a8c799)] -> xpath: //*[@class='menusubnav']/li/a]
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: .//*[@class='heading3']
2019-08-22 16:34:44 INFO  TestBase:144 - Add New Customer Page Opened
2019-08-22 16:34:44 INFO  TestBase:144 - Entering all valid details and creating new Customer
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='name']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='radio'][@value='f']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (869cbde215d2191d93c4587351a8c799)] -> xpath: //*[@type='radio'][@value='f']]
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='date']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[text()='Address']//following::textarea
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='city']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='state']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='pinno']
2019-08-22 16:34:44 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='telephoneno']
2019-08-22 16:34:45 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='emailid']
2019-08-22 16:34:45 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='password']
2019-08-22 16:34:45 INFO  WebEventListener:132 - Found Element By : By.xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]
2019-08-22 16:34:45 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (869cbde215d2191d93c4587351a8c799)] -> xpath: /html/body/table/tbody/tr/td/table/tbody/tr[14]/td[2]/input[1]]
2019-08-22 16:34:45 INFO  TestBase:144 - New Customer Creation Done
2019-08-22 16:34:45 INFO  TestBase:209 - browser closed
2019-08-22 16:37:08 INFO  TestBase:115 - navigating to :-http://demo.guru99.com/v4/
2019-08-22 16:37:13 INFO  TestBase:144 - Username and Password Entry is in process
2019-08-22 16:37:13 INFO  WebEventListener:132 - Found Element By : By.name: uid
2019-08-22 16:37:13 INFO  WebEventListener:132 - Found Element By : By.name: password
2019-08-22 16:37:13 INFO  WebEventListener:132 - Found Element By : By.name: btnLogin
2019-08-22 16:37:16 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (f6e702bba827ef16f4552bafda730dfc)] -> name: btnLogin]
2019-08-22 16:37:16 INFO  TestBase:144 - Username and Password Entry done
2019-08-22 16:37:16 INFO  TestBase:144 - Navigating to New Customer
2019-08-22 16:37:17 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@class='menusubnav']/li/a
2019-08-22 16:37:29 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (f6e702bba827ef16f4552bafda730dfc)] -> xpath: //*[@class='menusubnav']/li/a]
2019-08-22 16:37:29 INFO  WebEventListener:132 - Found Element By : By.xpath: .//*[@class='heading3']
2019-08-22 16:37:29 INFO  TestBase:144 - Add New Customer Page Opened
2019-08-22 16:37:29 INFO  TestBase:144 - Entering all valid details and creating new Customer
2019-08-22 16:37:29 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='name']
2019-08-22 16:37:30 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='radio'][@value='f']
2019-08-22 16:37:30 INFO  WebEventListener:132 - Clicked on: [[ChromeDriver: chrome on XP (f6e702bba827ef16f4552bafda730dfc)] -> xpath: //*[@type='radio'][@value='f']]
2019-08-22 16:37:30 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[@type='date']
2019-08-22 16:37:30 INFO  WebEventListener:132 - Found Element By : By.xpath: //*[text()='Address']//following::textarea
2019-08-22 16:37:43 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='city']
2019-08-22 16:37:43 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='state']
2019-08-22 16:37:43 INFO  WebEventListener:132 - Found Element By : By.xpath: //input[@name='pinno']
